BSS00016	H3K79me2	impute_BSS00016_H3K79me2
BSS00016	H3K9ac	impute_BSS00016_H3K9ac
BSS00016	H3K9me3	impute_BSS00016_H3K9me3
BSS00016	H4K20me1	impute_BSS00016_H4K20me1
BSS00017	ATAC-seq	impute_BSS00017_ATAC-seq
BSS00017	DNase-seq	impute_BSS00017_DNase-seq
BSS00017	H2AFZ	impute_BSS00017_H2AFZ
BSS00017	H3K27me3	impute_BSS00017_H3K27me3
BSS00017	H3K36me3	impute_BSS00017_H3K36me3
BSS00017	H3K4me1	impute_BSS00017_H3K4me1
BSS00017	H3K4me2	impute_BSS00017_H3K4me2
BSS00017	H3K4me3	impute_BSS00017_H3K4me3
BSS00017	H3K79me2	impute_BSS00017_H3K79me2
BSS00017	H3K9ac	impute_BSS00017_H3K9ac
BSS00017	H3K9me3	impute_BSS00017_H3K9me3
BSS00017	H4K20me1	impute_BSS00017_H4K20me1
BSS00018	ATAC-seq	impute_BSS00018_ATAC-seq
BSS00018	DNase-seq	impute_BSS00018_DNase-seq
BSS00018	H2AFZ	impute_BSS00018_H2AFZ
BSS00018	H3K27ac	impute_BSS00018_H3K27ac
BSS00018	H3K27me3	impute_BSS00018_H3K27me3
BSS00018	H3K36me3	impute_BSS00018_H3K36me3
BSS00018	H3K4me1	impute_BSS00018_H3K4me1
BSS00018	H3K4me2	impute_BSS00018_H3K4me2
BSS00018	H3K4me3	impute_BSS00018_H3K4me3
BSS00018	H3K79me2	impute_BSS00018_H3K79me2
BSS00018	H3K9ac	impute_BSS00018_H3K9ac
BSS00018	H3K9me3	impute_BSS00018_H3K9me3
BSS00018	H4K20me1	impute_BSS00018_H4K20me1
BSS00019	ATAC-seq	impute_BSS00019_ATAC-seq
BSS00019	DNase-seq	impute_BSS00019_DNase-seq
BSS00019	H2AFZ	impute_BSS00019_H2AFZ
BSS00019	H3K27me3	impute_BSS00019_H3K27me3
BSS00019	H3K36me3	impute_BSS00019_H3K36me3
BSS00019	H3K4me1	impute_BSS00019_H3K4me1
BSS00019	H3K4me2	impute_BSS00019_H3K4me2
BSS00019	H3K4me3	impute_BSS00019_H3K4me3
BSS00019	H3K79me2	impute_BSS00019_H3K79me2
BSS00019	H3K9ac	impute_BSS00019_H3K9ac
BSS00019	H3K9me3	impute_BSS00019_H3K9me3
BSS00019	H4K20me1	impute_BSS00019_H4K20me1
BSS00020	ATAC-seq	impute_BSS00020_ATAC-seq
BSS00020	DNase-seq	impute_BSS00020_DNase-seq
BSS00020	H2AFZ	impute_BSS00020_H2AFZ
BSS00020	H3K27ac	impute_BSS00020_H3K27ac
BSS00020	H3K27me3	impute_BSS00020_H3K27me3
BSS00020	H3K36me3	impute_BSS00020_H3K36me3
BSS00020	H3K4me1	impute_BSS00020_H3K4me1
BSS00020	H3K4me2	impute_BSS00020_H3K4me2
BSS00020	H3K4me3	impute_BSS00020_H3K4me3
BSS00020	H3K79me2	impute_BSS00020_H3K79me2
BSS00020	H3K9ac	impute_BSS00020_H3K9ac
BSS00020	H3K9me3	impute_BSS00020_H3K9me3
BSS00020	H4K20me1	impute_BSS00020_H4K20me1
BSS00021	ATAC-seq	impute_BSS00021_ATAC-seq
BSS00021	DNase-seq	impute_BSS00021_DNase-seq
BSS00021	H2AFZ	impute_BSS00021_H2AFZ
BSS00021	H3K27me3	impute_BSS00021_H3K27me3
BSS00021	H3K36me3	impute_BSS00021_H3K36me3
BSS00021	H3K4me1	impute_BSS00021_H3K4me1
BSS00021	H3K4me2	impute_BSS00021_H3K4me2
BSS00021	H3K4me3	impute_BSS00021_H3K4me3
BSS00021	H3K79me2	impute_BSS00021_H3K79me2
BSS00021	H3K9ac	impute_BSS00021_H3K9ac
BSS00021	H3K9me3	impute_BSS00021_H3K9me3
BSS00021	H4K20me1	impute_BSS00021_H4K20me1
BSS00022	ATAC-seq	impute_BSS00022_ATAC-seq
BSS00022	DNase-seq	impute_BSS00022_DNase-seq
BSS00022	H2AFZ	impute_BSS00022_H2AFZ
BSS00022	H3K27me3	impute_BSS00022_H3K27me3
BSS00022	H3K36me3	impute_BSS00022_H3K36me3
BSS00022	H3K4me1	impute_BSS00022_H3K4me1
BSS00022	H3K4me2	impute_BSS00022_H3K4me2
BSS00022	H3K4me3	impute_BSS00022_H3K4me3
BSS00022	H3K79me2	impute_BSS00022_H3K79me2
BSS00022	H3K9ac	impute_BSS00022_H3K9ac
BSS00022	H3K9me3	impute_BSS00022_H3K9me3
BSS00022	H4K20me1	impute_BSS00022_H4K20me1
BSS00023	ATAC-seq	impute_BSS00023_ATAC-seq
BSS00023	DNase-seq	impute_BSS00023_DNase-seq
BSS00023	H2AFZ	impute_BSS00023_H2AFZ
BSS00023	H3K27ac	impute_BSS00023_H3K27ac
BSS00023	H3K27me3	impute_BSS00023_H3K27me3
BSS00023	H3K36me3	impute_BSS00023_H3K36me3
BSS00023	H3K4me1	impute_BSS00023_H3K4me1
BSS00023	H3K4me2	impute_BSS00023_H3K4me2
BSS00023	H3K4me3	impute_BSS00023_H3K4me3
BSS00023	H3K79me2	impute_BSS00023_H3K79me2
BSS00023	H3K9ac	impute_BSS00023_H3K9ac
BSS00023	H3K9me3	impute_BSS00023_H3K9me3
BSS00023	H4K20me1	impute_BSS00023_H4K20me1
BSS00024	ATAC-seq	impute_BSS00024_ATAC-seq
BSS00024	DNase-seq	impute_BSS00024_DNase-seq
BSS00024	H2AFZ	impute_BSS00024_H2AFZ
BSS00024	H3K27ac	impute_BSS00024_H3K27ac
BSS00024	H3K27me3	impute_BSS00024_H3K27me3
BSS00024	H3K36me3	impute_BSS00024_H3K36me3
BSS00024	H3K4me1	impute_BSS00024_H3K4me1
BSS00024	H3K4me2	impute_BSS00024_H3K4me2
BSS00024	H3K4me3	impute_BSS00024_H3K4me3
BSS00024	H3K79me2	impute_BSS00024_H3K79me2
BSS00024	H3K9ac	impute_BSS00024_H3K9ac
BSS00024	H3K9me3	impute_BSS00024_H3K9me3
BSS00024	H4K20me1	impute_BSS00024_H4K20me1
BSS00025	ATAC-seq	impute_BSS00025_ATAC-seq
BSS00025	DNase-seq	impute_BSS00025_DNase-seq
BSS00025	H2AFZ	impute_BSS00025_H2AFZ
BSS00025	H3K27ac	impute_BSS00025_H3K27ac
BSS00025	H3K27me3	impute_BSS00025_H3K27me3
BSS00025	H3K36me3	impute_BSS00025_H3K36me3
BSS00025	H3K4me1	impute_BSS00025_H3K4me1
BSS00025	H3K4me2	impute_BSS00025_H3K4me2
BSS00025	H3K4me3	impute_BSS00025_H3K4me3
BSS00025	H3K79me2	impute_BSS00025_H3K79me2
BSS00025	H3K9ac	impute_BSS00025_H3K9ac
BSS00025	H3K9me3	impute_BSS00025_H3K9me3
BSS00025	H4K20me1	impute_BSS00025_H4K20me1
BSS00026	ATAC-seq	impute_BSS00026_ATAC-seq
BSS00026	DNase-seq	impute_BSS00026_DNase-seq
BSS00026	H2AFZ	impute_BSS00026_H2AFZ
BSS00026	H3K27ac	impute_BSS00026_H3K27ac
BSS00026	H3K27me3	impute_BSS00026_H3K27me3
BSS00026	H3K36me3	impute_BSS00026_H3K36me3
BSS00026	H3K4me1	impute_BSS00026_H3K4me1
BSS00026	H3K4me2	impute_BSS00026_H3K4me2
BSS00026	H3K4me3	impute_BSS00026_H3K4me3
BSS00026	H3K79me2	impute_BSS00026_H3K79me2
BSS00026	H3K9ac	impute_BSS00026_H3K9ac
BSS00026	H3K9me3	impute_BSS00026_H3K9me3
BSS00026	H4K20me1	impute_BSS00026_H4K20me1
BSS00027	ATAC-seq	impute_BSS00027_ATAC-seq
BSS00027	DNase-seq	impute_BSS00027_DNase-seq
BSS00027	H2AFZ	impute_BSS00027_H2AFZ
BSS00027	H3K27me3	impute_BSS00027_H3K27me3
BSS00027	H3K36me3	impute_BSS00027_H3K36me3
BSS00027	H3K4me1	impute_BSS00027_H3K4me1
BSS00027	H3K4me2	impute_BSS00027_H3K4me2
BSS00027	H3K4me3	impute_BSS00027_H3K4me3
BSS00027	H3K79me2	impute_BSS00027_H3K79me2
BSS00027	H3K9ac	impute_BSS00027_H3K9ac
BSS00027	H3K9me3	impute_BSS00027_H3K9me3
BSS00027	H4K20me1	impute_BSS00027_H4K20me1
BSS00028	ATAC-seq	impute_BSS00028_ATAC-seq
BSS00028	DNase-seq	impute_BSS00028_DNase-seq
BSS00028	H2AFZ	impute_BSS00028_H2AFZ
BSS00028	H3K27ac	impute_BSS00028_H3K27ac
BSS00028	H3K27me3	impute_BSS00028_H3K27me3
BSS00028	H3K36me3	impute_BSS00028_H3K36me3
BSS00028	H3K4me1	impute_BSS00028_H3K4me1
BSS00028	H3K4me2	impute_BSS00028_H3K4me2
BSS00028	H3K4me3	impute_BSS00028_H3K4me3
BSS00028	H3K79me2	impute_BSS00028_H3K79me2
BSS00028	H3K9ac	impute_BSS00028_H3K9ac
BSS00028	H3K9me3	impute_BSS00028_H3K9me3
BSS00028	H4K20me1	impute_BSS00028_H4K20me1
BSS00029	ATAC-seq	impute_BSS00029_ATAC-seq
BSS00029	DNase-seq	impute_BSS00029_DNase-seq
BSS00029	H2AFZ	impute_BSS00029_H2AFZ
BSS00029	H3K27ac	impute_BSS00029_H3K27ac
BSS00029	H3K27me3	impute_BSS00029_H3K27me3
BSS00029	H3K36me3	impute_BSS00029_H3K36me3
BSS00029	H3K4me1	impute_BSS00029_H3K4me1
BSS00029	H3K4me2	impute_BSS00029_H3K4me2
BSS00029	H3K4me3	impute_BSS00029_H3K4me3
BSS00029	H3K79me2	impute_BSS00029_H3K79me2
BSS00029	H3K9ac	impute_BSS00029_H3K9ac
BSS00029	H3K9me3	impute_BSS00029_H3K9me3
BSS00029	H4K20me1	impute_BSS00029_H4K20me1
BSS00030	ATAC-seq	impute_BSS00030_ATAC-seq
BSS00030	DNase-seq	impute_BSS00030_DNase-seq
